Instance,API_Endpoint,Error_Reason
im-in.space,imformation (v2 & v1),403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance
im-in.space,/api/v1/instance/peers,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/peers
im-in.space,/api/v1/instance/activity,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/activity
im-in.space,/api/v1/instance/rules,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/rules
im-in.space,/api/v1/instance/domain_blocks,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/domain_blocks
im-in.space,/api/v1/instance/extended_description,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/extended_description
im-in.space,/api/v1/instance/privacy_policy,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/privacy_policy
im-in.space,/api/v1/instance/terms_of_service,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/terms_of_service
im-in.space,/api/v1/instance/translation_languages,403 Client Error: Forbidden for url: https://im-in.space/api/v1/instance/translation_languages
imastodon.blue,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://imastodon.blue/api/v1/instance/domain_blocks
imastodon.blue,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://imastodon.blue/api/v1/instance/terms_of_service
imastodon.blue,/api/v1/instance/translation_languages,404 Client Error: Not Found for url: https://imastodon.blue/api/v1/instance/translation_languages
imastodon.net,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://imastodon.net/api/v1/instance/domain_blocks
imastodon.net,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://imastodon.net/api/v1/instance/terms_of_service
imastodon.org,/api/v1/instance/domain_blocks,404 Client Error: Not Found for url: https://imastodon.org/api/v1/instance/domain_blocks
imastodon.org,/api/v1/instance/terms_of_service,404 Client Error: Not Found for url: https://imastodon.org/api/v1/instance/terms_of_service
inherently.digital,/api/v1/instance/peers,404 Client Error: Not Found for url: https://inherently.digital/api/v1/instance/peers
inherently.digital,/api/v1/instance/activity,404 Client Error: Not Found for url: https://inherently.digital/api/v1/instance/activity
